"","sample","response","method","MSEmean","MSEsd","MAEmean","MAEsd","MSPEmean","MSPEsd","MAPEmean","MAPEsd","MSE","MAE","MSPEs","MSPE","MAPE"
"11",42,100,"MLR",0.00295064034176064,0.00292211880787928,0.0368847313429085,0.0167594237075785,37174372.0411316,9286752.4364391,2499.95785586823,232.508160454844,"0.003 (0.003)","0.037 (0.017)","3.72e+07 (9.29e+06)","37174372 (9286752)","2500 (233)"
"12",42,100,"Ridge",0.139011392859747,0.025971559659902,0.303651153232795,0.0305053317576277,4483538.13890927,1727578.99114903,888.47564226213,148.249775808988,"0.139 (0.026)","0.304 (0.031)","4.48e+06 (1.73e+06)","4483538 (1727579)","888 (148)"
"13",42,100,"EN",0.00377246136542546,0.00115398337481142,0.0415933898627458,0.00466175716865898,93532.4810033544,90114.4356653378,99.0343705721135,19.8754882146303,"0.004 (0.001)","0.042 (0.005)","9.35e+04 (9.01e+04)","93532 (90114)","99 (20)"
"14",42,100,"Lasso",0.00420013793575617,0.00134878202067607,0.0438947023998528,0.00522232645486287,89423.3728002234,86620.7937025982,98.0180397222162,18.2934615675985,"0.004 (0.001)","0.044 (0.005)","8.94e+04 (8.66e+04)","89423 (86621)","98 (18)"
"15",42,100,"Entropy",0.00779390829548275,0.00186892477077416,0.0638917833118515,0.00891519027829483,76428.4173940818,72144.5745251918,93.8089634496684,16.6668677634485,"0.008 (0.002)","0.064 (0.009)","7.64e+04 (7.21e+04)","76428 (72145)","94 (17)"
"16",80,25,"MLR",5.71379931453648e-05,4.89651866506657e-05,0.00536732177409923,0.00174190513880114,389518421.124795,75139066.0444364,9503.23514254063,726.741258914339,"< 0.001 (< 0.001)","0.005 (0.002)","3.90e+08 (7.51e+07)","389518421 (75139066)","9503 (727)"
"17",80,25,"Ridge",0.0685094336240109,0.0183083710981481,0.208658200372467,0.0311729884631749,18570854.6629959,6966321.49137356,2075.89044322868,336.207382841917,"0.069 (0.018)","0.209 (0.031)","1.86e+07 (6.97e+06)","18570855 (6966321)","2076 (336)"
"18",80,25,"EN",0.00230369894828123,0.000809172622216953,0.0343700999664401,0.00427350558418543,349771.232873988,184921.713494938,249.518075408448,33.5493286779924,"0.002 (< 0.001)","0.034 (0.004)","3.50e+05 (1.85e+05)","349771 (184922)","250 (34)"
"19",80,25,"Lasso",0.00271562985903493,0.00103754522934956,0.0376186168635124,0.00552564923786233,325036.413803816,170483.140006554,243.933171231805,29.7211445802889,"0.003 (0.001)","0.038 (0.006)","3.25e+05 (1.70e+05)","325036 (170483)","244 (30)"
"20",80,25,"Entropy",0.00799759309331685,0.00342749835704662,0.0677787681180951,0.0143654110131496,149878.760388941,79060.6677477303,175.355198378218,23.1390904868804,"0.008 (0.003)","0.068 (0.014)","1.50e+05 (7.91e+04)","149879 (79061)","175 (23)"
"21",80,50,"MLR",0.000406322116803742,0.000314930721156924,0.0138146885760385,0.00523283163306947,133470827.888972,24252040.3769972,4989.11998388428,317.23911321822,"< 0.001 (< 0.001)","0.014 (0.005)","1.33e+08 (2.43e+07)","133470828 (24252040)","4989 (317)"
